"0hr"	"9.5hr"	"11.5hr"	"13.5hr"	"15.5hr"	"18.5hr"	"20.5hr"
"1"	0.165	0.272	0.046	0.429	0.143	-0.211	0.183
"2"	0.101	0.237	-0.109	0.149	0.111	-0.14	0.252
"3"	0.15	0.469	-0.015	0.144	0.072	0.115	0.215
"4"	-1.193	NA	-0.963	-0.51	-2.392	NA	-0.939
"5"	-0.741	0.227	-0.986	-0.048	-1.277	-0.194	NA
"6"	-0.351	0.425	-0.574	-0.522	0.404	0.32	0.249
"7"	0.272	0.825	0.544	0.353	-0.659	-0.009	0.545
"8"	-0.131	1.699	-0.026	0.365	-0.246	0.478	0.435
"9"	NA	NA	-0.688	0.008	NA	NA	NA
"10"	NA	NA	-3.841	0.312	-0.427	NA	0
"11"	NA	NA	-1	-0.024	-0.939	NA	NA
"12"	1.858	NA	-0.591	-0.907	-0.255	NA	NA
"13"	0.224	0.367	0.312	0.014	-0.003	-1.357	-0.811
"14"	0.002	0.634	0.31	0.441	0.458	-0.136	0.275
"15"	-1.07	-0.514	-0.22	-0.012	-0.215	1.741	4.239
"16"	0.09	0.884	0.165	0.199	0.034	0.148	0.935
"17"	-0.046	0.635	0.194	0.291	0.271	0.488	0.533
"18"	0.162	0.159	0.609	0.481	0.447	1.541	1.449
"19"	-0.013	0.88	-0.009	0.144	-0.001	0.14	0.192
"20"	-0.405	0.853	-0.259	-0.124	-1.181	0.095	0.027
"21"	0.048	0.889	0.014	0.057	-0.334	0.091	-0.133
"22"	-0.416	0.736	-0.291	-0.098	-0.661	0.077	0.119
"23"	0.006	0.605	-0.139	0.155	-0.275	0.264	0.076
"24"	NA	NA	-0.526	0.716	-1.497	NA	0.343
"25"	-0.372	1.168	-0.213	0.206	-0.173	-0.013	0.285
"26"	0.305	0.146	-0.129	-0.444	-0.707	-1.499	-1.935
"27"	0.161	0.362	-0.038	0.185	0.116	0.087	0.25
"28"	0.091	0.777	0.215	0.522	0.131	1.191	0.887
"29"	-1.079	-0.013	-0.083	-0.586	-1.264	0.471	0.169
"30"	0.157	0.175	0.467	-0.379	-0.52	-1.279	-2.125
"31"	0.246	0.796	0.384	0.981	1.02	1.646	1.157
"32"	-0.283	0.788	-0.426	0.475	-0.201	0.306	1.05
"33"	-0.01	1.1	0.039	0.09	-0.041	-0.9	-0.637
"34"	0.139	0.352	0.002	-0.004	0.004	0.853	0.559
"35"	-0.138	0.126	-0.354	-0.282	-0.494	-0.443	-0.357
"36"	-0.235	0.487	-0.184	-0.669	-1.006	2.369	2.611
"37"	0.095	0.24	-0.439	-0.227	-0.337	0.146	0.754
"38"	0.322	0.412	-0.006	0.217	0.113	0.139	0.387
"39"	0.399	0.358	0.219	0.223	0.233	0.212	0.392
"40"	0.372	0.3	0.013	0.255	0.187	0.058	0.422
"41"	-0.299	0.207	-0.155	-0.678	-0.875	-1.33	-1.426
"42"	-0.532	0.028	-0.333	-0.102	1.172	2.087	0.992
"43"	-0.067	0.855	-0.124	-0.096	-0.104	-0.22	-0.256
"44"	-0.218	0.219	0.329	0.381	0.191	0.585	-0.302
"45"	-0.082	0.818	-0.085	0.148	0.082	-0.166	0.093
"46"	-0.003	0.522	0.347	0.806	0.756	1.949	1.065
"47"	-0.47	0.244	-0.399	0.137	-0.311	0.343	0.091
"48"	-0.107	0.51	0.292	0.451	0.123	1.048	0.602
"49"	-0.382	0.236	0.118	0.098	-0.44	0.312	0.93
"50"	-0.137	0.405	0.541	0.635	0.308	0.597	1.034
"51"	-0.122	0.629	-0.035	0.145	-0.149	-0.209	0.352
"52"	0.395	0.536	0.422	0.113	-0.226	-1.681	-1.857
"53"	0.025	0.459	0.388	0.524	0.166	0.91	0.609
"54"	0.175	0.444	0.422	0.603	0.427	0.233	-0.398
"55"	-0.049	0.287	-0.066	0.301	0.623	2.922	3.768
"56"	0.157	0.623	-0.143	0.199	0.025	-0.024	0.699
"57"	-1.276	-0.193	0.347	-0.139	-0.709	1.028	0.467
"58"	-0.206	0.385	0.079	0.028	-0.168	-0.117	0.313
"59"	-0.266	0.269	-0.04	-0.268	-0.579	-0.304	-0.971
"60"	-0.242	0.037	0.002	0.22	-0.642	0.26	-0.262
"61"	0.192	0.527	0.163	-0.344	-0.911	-1.286	-1.463
"62"	0.029	0.165	0.341	0.395	-0.122	0.722	0.286
"63"	-0.435	0.017	-0.182	-0.01	-0.624	2.29	2.858
"64"	0.09	0.029	0.609	0.745	0.602	1.876	2.907
"65"	0.006	0.91	-0.035	0.135	-0.084	0.517	1.023
"66"	-0.541	0.244	0.099	-0.008	-0.632	2.982	3.192
"67"	-0.043	0.931	-0.171	-0.254	-0.683	-0.938	-0.58
"68"	0.065	0.915	-0.314	-0.366	-0.362	-0.521	0.059
"69"	-0.028	-0.104	0.045	-0.2	-0.776	-0.253	-0.238
"70"	-0.551	-0.016	0.4	-0.077	-0.655	-0.059	0.553
"71"	-0.049	0.318	-0.202	-0.714	-0.767	-0.485	-0.95
"72"	-0.456	0.55	-0.314	-0.431	-0.543	0.14	0.285
"73"	0.214	0.318	0.439	0.126	-0.023	-1.2	-1.19
"74"	-0.108	0.349	0.397	0.223	-0.157	0.06	0.424
"75"	0.45	0.277	0.628	0.274	-0.435	0.645	0.042
"76"	0.16	0.43	-0.188	-0.09	-0.135	0.222	0.157
"77"	-0.224	0.151	0.163	-0.125	-0.245	1.027	0.999
"78"	-0.329	0.215	0.257	-0.212	-0.597	0.46	0.802
"79"	-0.044	0.764	0.061	0.128	-0.184	-0.378	0.705
"80"	0.421	0.613	0.038	0.35	-0.216	-0.487	0.354
"81"	0.151	0.272	0.065	0.238	0.046	-0.544	-0.275
"82"	-0.156	-0.327	-0.027	-0.138	-0.348	-0.072	-0.083
"83"	-0.065	-0.101	0.564	0.348	0.176	0.114	-0.497
"84"	-0.665	-0.724	0.419	0.505	0.499	1.53	1.755
"85"	-0.619	-1.682	-0.043	-0.37	-0.767	0.75	0.903
"86"	0.343	0.218	0.229	0.292	0.215	0.546	0.168
"87"	-0.196	-0.293	0.007	0.273	0.038	0.218	-0.116
"88"	-0.562	-0.748	-0.243	0.358	-0.176	1.476	0.853
"89"	-0.538	-0.316	0.39	0.781	0.389	1.649	1.498
"90"	-0.005	0.455	0.008	0.269	0.034	-0.224	-0.411
"91"	0.048	0.456	0.127	0.02	-0.384	-0.477	-1.092
"92"	-0.26	-0.45	0.229	0.133	-0.29	0.384	0.405
"93"	-0.111	0.933	-0.702	0.124	0.177	1.929	1.806
"94"	0.224	0.274	-0.002	-0.211	-0.76	-1.524	-2.145
